ISBN,書籍簡介
9789579496346,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►基本原理 ►直線排列 ►不完全相異物的直線排列 ►環狀排列 ►日本試題精粹
                    
"
9789579496292,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►古典機率 ►條件機率 ►數學期望值 ►日本試題精粹
                    
"
9789578953901,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►組合 ►二項式定理 ►日本試題精粹
                    
"
9789862243732,"

數學的解題首重「完整的理論觀念」、「定理公式的證明」及「實際的問題演練」，針對此三部分，編者在本書中均鉅細靡遺地逐一依序附上，並佐以「精準範例」及「精準類題」與其無縫接軌；藉此雙管齊下除可確實強化教師們的教學效果之外，學生們的成績亦能同時大幅提升，並進一步激發其產生對數學課程的興趣、熱情與成就感。
                    
"
9789579496384,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►三角函數　►三角函數的性質 ►複數 ►日本試題精粹
                    
"
9789579496353,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►空間概念　►空間中的向量與內積 ►空間中的平面 ►空間中的直線 ►日本試題精粹
                    
"
9789862242469,"

一、本書內容編排依據「99課綱」高中數學課本1~4冊順序，將歷屆大學入試「學科能力測驗」試題加以整理歸納成14章，並進一步針對試題做「系統化」解析，好教好學可熟悉「命題歷史軌跡」、掌握「命題趨勢方向」！二、本書每章皆歸納為「重要觀念篇」、「試題篇」及「解答篇」等三篇，各篇詳述如下：　　以淺顯口語化的方式，透過「類型」整理「學科能力測驗」常考熱門解題觀念，幫助同學一目瞭然。此部份不管課堂初學或是考前複習都非常實用！　　將每一章的學測相關試題，依學校教學方式，由淺而深分類整理，每一類型再依先後，循序漸進編列而成。此部份同學們學習起來，肯定行雲流水，效果事半功倍！　　編排上先列出本章「試題篇」各題的標準答案，以便同學們在做完題目後，可以自行先審核。　　首先每一題先列出""命題重點""，幫助同學們了解該題重要觀念，進而掌握學習方向。此「解析」部份，筆者將教學數十年經驗心得中最好最妙的解題觀念，完整呈現在同學面前！「觀念再加強」針對該題的極重要觀念，進行再一次記憶強化！
                    
"
9789579496216,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►等差數列與等比數列　►有限數列與級數　►無窮等比級數與級數 ►數學歸納法　►日本試題精粹
                    
"
9789579496391,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►向量的基本運算　►向量的內積 ►向量與直線 ►日本試題精粹
                    
"
9789579496209,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►極數與導數 ►導數的應用 ►其他初等函數的微分 ►日本試題精粹
                    
"
9789579496315,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►無窮數列的極限 ►積分法 ►定積分的應用 ►其他初等函數的積分 ►日本試題精粹
                    
"
9789578953925,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►矩陣的列運算 ►行列式 ►矩陣的運算 ►日本試題精粹
                    
"
9789578177772,"

■多元思考、潛力開發 ■關鍵提示、動手演練■觀念整合、臨場應用■思路說明、探討深入
                    
"
9789579496339,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►二元二次方程式的圖形與圓錐截痕 ►拋物線 ►橢圓 ►雙曲線 ►日本試題精粹
                    
"
9789579496285,"

本叢書編寫主旨在於培養同學獨立思考的習慣，加強自習的能力，使同學不但有縱的連貫，也有橫的認識，以收融會貫通之效。本書對於每一定理必加以證明並附以『觀念指正』，由各個角度探討定理的內涵。每一例題必前後銜接，研讀起來就像水銀瀉地般的流暢，而且每一節的評量分成『基本題』、『標準題』、『挑戰題』三段，按部就班自我評量後，參加各種考試，必能得心應手。►整數　►有理數　►整數複數及其運算　►一元二次方程式　►日本試題精粹
                    
"
