ISBN,書籍簡介
9786202041089,"

A evolu癟瓊o dos computadores e a inven癟瓊o das redes de alta velocidade contribu穩ram significativamente para o surgimento dos sistemas distribu穩dos e do desenvolvimento do conceito de processamento paralelo. Deste modo surgiram os clusters, que s瓊o aglomerados computacionais capazes de realizar tarefas como se fosse um recurso unificado, portanto dependendo da quantidade de computadores existentes, eles conseguem adquirir capacidade de processamento equivalente a um supercomputador. Neste trabalho 矇 desenvolvido um cluster Beowulf em um ambiente virtualizado. Este projeto ainda realiza a utiliza癟瓊o pr獺tica deste cluster em um teste de seguran癟a em cima das vulnerabilidades do protocolo WPA de redes wireless. A motiva癟瓊o da utiliza癟瓊o do cluster 矇 otimizar a execu癟瓊o de tarefas que demandam grande poder computacional. O desenvolvimento deste trabalho mostra ainda a montagem, instala癟瓊o e configura癟瓊o do cluster e de todo o ambiente necess獺rio para proporcionar o processamento paralelo do teste de seguran癟a, finalizando com o ganho de desempenho e a quebra da senha WPA.
                    
"
9786202102872,"

Este libro presenta una visi籀n general del est獺ndar IEEE 802.22 WRAN o com繳nmente llamado S繳per Wi-Fi o White-Fi, el cual es un est獺ndar basado en la tecnolog穩a de Radio Cognitivo y tiene como finalidad brindar servicios de banda ancha en zonas donde la densidad de poblaci籀n es relativamente baja, de manera econ籀mica y alcanzando grandes distancias. El IEEE 802.22 usa para sus transmisiones los canales disponibles de la televisi籀n o espacios en blancos (White Space) en el rango de operaci籀n de 54 - 862 MHz correspondientes a las bandas UHF/VHF, bajo la premisa de no causar interferencia a otros servicios autorizados, lo que trae consigo un mejor uso del espectro radioel矇ctrico. Para su correcta operaci籀n se apoya de las t矇cnicas de Radio Cognitivo, que se ocupa de escanear y detectar en todo momento los canales disponibles del espectro en el intervalo de operaci籀n del est獺ndar.
                    
"
9786139978687,"

The Science of today is the technology of tomorrow.The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency. Technology can be our best friend, and technology can also be the biggest party pooper of our lives. It interrupts our own story, interrupts our ability to have a thought or a daydream, to imagine something wonderful, because we're too busy bridging the walk from the cafeteria back to the office on the cell phone.
                    
"
9781587052668,0
9780471783282,0
9780764558948,0
9781932111880,"

The first edition of this book has quickly become the best-selling guide for Wi-Fi users around the world. Master technical author, Jeff Duntemann, makes tangled Wi-Fi technological issues very comprehensible. Jeff explains the blizzard of Wi-Fi concepts and standards, including the new 802.11g, the complex and fluky security issues, and shows users how to protect themselves from both obvious and non-obvious threats. He also covers the human element in the Wi-Fi movement, including hacker threats and Wi-Fi communities. Jeff's coverage of wardriving has been highly praised by many Wi-Fi experts and the top Wi-Fi Web sites. Many technical drawings clarify difficult concepts, with abundant Web pointers to further information. The book features numerous hands-on projects that can dramatically increase the performance of home and small business Wi-Fi systems. Some of the important and new topics covered in the book include: Money-saving Wi-Fi network design and implementation techniques Wi-Fi communities Access points and gateways Security and privacy Wireless security auditing with WarLinux and Kismet The art of wardriving How to create powerful low-cost antennas How to protect yourself against clever hackers
                    
"
9780321136206,"

Providing descriptions of security techniques, this title presents significant clarification of IEEE draft standards.
                    
"
9781578203017,"

Make informed decisions about planning and installing 802.11 'Wi-Fi' wireless networks. This book helps you tackle the challenge, whether installing Wi-Fi within an existing corporate network or setting up a wireless network from scratch in any business
                    
"
9780131402065,0
9781886411456,0
