ISBN,書籍簡介
9789862956014,"


	本書特色
	●適合法律系初學者及非法律系學生研讀之商事法。
	●以案例式引導讀者進入商事法之領域。
	●以淺顯易懂之文字加以表達。
	●選取商事法中精華及常用部分。
	●有助於讀者認識商事法法規之結構及內涵。
	●本書寫作方式，乃先設計一個可以涵蓋一個主題的案例，針對案例列出問題，就每個問題先討論涉及之相關法規、理論及實務見解，並以之作為解決問題之依據。

"
9789863260684,"

《企業法律實務教戰手冊》ODM合約組成公式大破解國際代工製造業者必讀必備之實務寶典附錄《2010年國際貿易術語通則》(INCOTERMS 2010) 中譯版《聯合國國際貨物買賣公約》(UN-CISG) 中譯版《孫子兵法》言：「兵者，詭道也」，意指用兵作戰是一門詭詐之術，而商場如戰場，商場上的合約亦如戰場上的兵法，但合約的閱讀卻往往讓許多從業人員視為畏途，特別是維繫台灣經濟基礎的國際代工製造業常用的ODM合約。本書作者以「十年磨一劍」的工作經驗之精華，破解ODM合約的組成公式，將其化繁為簡、化整為零，幫助讀者先建立起ODM業務的完整環節概念，再循序漸進地逐一解析ODM合約的重點，提綱挈領、易讀易懂。本書內容豐富而實用，啟國內代工製造業界常用合約導讀之先例，實為國際代工製造業從業人士、專業經理人必讀必備的教戰手冊，更是幫助決策主管征戰商場決勝於廟算的實務寶典！本書特色本書一方面可以作為代工法務和相關法學研究的參考，藉以瞭解豐富多彩的工商業實踐是如何與經典的合同法則相結合，並不斷賦予其新動力和生命力的，從而使經營和學問保持長青；另一方面，它對我們思考整個中國經濟、社會的發展及其走向，也不乏哲理的啟迪和教益。
                    
"
9789571138565,"

《實用票據法》係一本充分、完整掌握票據理論與實務的專業用書。「理論」部分是以淺顯文字並輔以圖表，依票據法順序解析說明票據之基本理論與架構；而民間使用票據或銀行票據作業所衍生之「實務」問題，須藉由財政部、中央銀行、銀行公會等主管機關之函釋或最高法院判例、民庭總會決議、各級法院討論決議以解決之，特將此部分輯於書中案例內。　　另增錄民國90年7月實施之「票信管理新制」、民國92年3月4日廢止施行「支票存款戶處理辦法」改由「支票存款戶處理規範」代之、暨中央銀行為發展電子金融業務，於民國89年12月提出「發展電子支票計劃」，並於90年五月成立「發展電子支票專案小組」，由台灣票據交換所訂定「金融業者參加電子票據交換規約」及「電子票據往來約定書」之最新內容。
                    
"
9789865407926,"

全球化競爭激烈，企業經營充滿變數與挑戰。為了產業發展與結構調整，以及企業的永續經營，企業併購乃現代企業必須思考採用的營運策略及組織戰略。本書係學術界研究成果與律師界實務經驗共同輯成，期能促進產業結構調整、企業升級及轉型。本書滿載企業併購之良策，誠為融會貫通商事法學之領航經典！
                    
"
9789869808002,"


 隨著經濟活動的全球化，商標的跨國申請與保護更趨重要。由於台灣並非聯合國會員國，因此無法加入國際現行之與知識產權有關的國際條約，在申請國際商標／專利時，仍無法享受到國際組織所提供之便利。

 為了服務客戶，眾律國際法律事務所窮盡人力，披荊斬棘，透過各種方式與世界各地的法律事務所接觸；十年來，已與全球近200家法律事務所／專利商標事務所建立起良好的溝通管道與合作基礎。這項國際法律合作的網絡，不只可提供客戶智慧財產權相關服務，更且是國際法律諮詢業務的堅實基礎。

 眾律法學叢書《各國商標制度實務指南》之「一帶一路」專題，分上下冊說明相關沿線國家之商標制度。上冊介紹「陸上絲綢之路經濟帶」沿線之亞太、中亞、與歐洲國家；下冊介紹「21世紀海上絲綢之路」沿線國家。

"
9789864305469,"


	商事法是商管相關學系很重要的一門課程，內容包括了企業營運中所需瞭解的重要法律規定。除了商業登記法、商業會計法等經營商業行為的基本法規之外，主要有公司法、票據法、保險法等三大領域，因此也是公司經營者、管理者及財會人員必需具備的知識。
	本書分為四大編，第一編「商事法總論」介紹商事法的基本架構、商業登記法及商業會計法；第二編「公司法」闡釋各種公司型態；第三編「票據法」說明匯票、本票、支票這三種商業往來常見票據的相關法律；第四編「保險法」則介紹商業經營相關的保險法規。每一編先以「法律導覽」帶領讀者認識此編相關的法規，再以「案例解析」引導讀者結合實務案例與法律知識，加以融會貫通，最後以「實用Q&A」列出常見的問題及解答，加快讀者的理解。
	作者在內容設計與編寫上均力求淺顯易懂，除了介紹基本法規，更側重於商業領域的運作實務，編者群運用多年實務經驗，用心編寫案例、分析，幫助讀者將理論性的法條，化為實用性的運作，是引領學習商事法的入門書，也是大專院校「商事法」課程的理想教材。
	第六版依政府頒定的最新法規進行全書修訂，書中的案例分析也依照實際運作狀況加以修訂，讓讀者學習商事法的同時，也能夠加以實用，使理論能與社會商事運作更為貼近，達到理論與實務雙管齊下的作用。

"
9789864511600,"

★ 什麼是信託？☆ 你知道信託對個人及家庭有哪些好處嗎？★ 信託與各種財產賦稅的關係又是如何？☆ 本書深入淺出告訴你。信託法自民國85年立法至今，運用的層面極為廣泛，在個人信託部分，如有價證券信託、保險金信託、退休安養信託、理財信託、財產移轉信託、子女教養創業信託、身心障礙信託、不動產信託、買賣價金交易安全信託等等；在法人部分，如管理型不動產信託、開發型不動產信託、不動產信託受益權轉讓、容積移轉價金信託、金錢債權及其擔保物權信託、預收金信託（禮券信託／生前契約信託）、公寓大廈管理基金信託、公益信託等等，也有金融機構為客戶專門量身訂做信託服務，市場上有關信託機構推出的產品名稱可以用「琳瑯滿目」來形容。本書特別針對信託的內容、相關的稅務規劃及信託登記實務，用淺顯易懂的文字?述提出詳盡說明，讓想利用信託規劃財產的個人或專業人士能有所參考。
                    
"
9789862959060,"

臺灣近年來益見嶄新之法學發展，原創者少，繼受或將外國法制本土化者眾。然而，學者、實務工作者，乃至於立法者，針對法律爭議，往往可見相同出處、卻不同解釋之嚴重歧異。基此，自有「揆諸初始、鑒本窮源」之必要。喜瑪拉雅研究發展基金會秉此精神，精選外國法學經典名著，廣邀學者與實務工作者，進行細膩且精準之翻譯。至盼翻譯之成果，能成為學術界與實務界透視外國法制之助力。Steven M. Bainbridge教授編輯本書，用心深刻，廣資博取，粹選名家鴻文，其內容涵蓋內線交易之廣泛議題，有法律與政經決策之論辯、特定類別被告之研究，尤其以實證檢視各主要國家內線交易法，探知實務案例之重要發展。本書既有嚴密的邏輯論辯，亦有思想的真知灼見，對歷史作了總結，對現實進行批判，包孕著對未來的嚮往，可供疏鑿之張本，以辨涇渭清渾。謹以此翻譯作品，饗饋各界，期望對臺灣的內線交易法制提供省思與前瞻。
                    
"
9789862959022,"

自聯電五合一、台積電及世大等合併與華南金控、富邦金控設立以來，製造業及金融業之併購活動，已於台灣生根且日愈頻繁。有關金融機構合併法、企業併購法、金融控股公司法、公司法等陸續公佈及修正，法制亦日趨完整且複雜，本書即針對日漸活躍的併購活動，就其實務發展、法律程序及法律問題提出說明，本書應對商業及法律實務運作者有所助益。本書主要之重點為：併購的種類與流程併購法制架構合併流程與契約股份收購的流程資產收購的流程股份轉換之程序分割制度及實務公開收購規範併購之公平會申報併購與股東權保障金融及產業控股公司本外國公司併購併購之董事義務
                    
"
9789862959077,"

在我國坊間書局較少見到將「商事法」與「財經法」合編一書之情形，反而多見將商事法與財經法分開編列之工具書，使用上頗為費事。為求財經法律人及商務人士使用上的方便，新學林出版公司將二者收納在一起，希望本工具書能帶給國內財經法律人及其他專業人士使用上更大的方便。一書在手，融會貫通，妙用無窮。
                    
"
