書名,書籍網站,作者,出版社,ISBN,圖片網址
機器學習：彩色圖解+基礎微積分+Python實作： 王者歸來（第三版） （全彩印刷）,https://www.kingstone.com.tw//basic/2013120599512?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,洪錦魁,深智數位  ,9789860776324,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599512/2013120599512b.jpg
Python資料科學與機器學習：從入門到實作必備攻略,https://www.kingstone.com.tw//basic/2013120598430?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,Frank Kane,博碩文化  ,9789864347865,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598430/2013120598430b.jpg
自學機器學習：上Kaggle接軌世界，成為資料科學家,https://www.kingstone.com.tw//basic/2013120595064?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,チームﾟカルポ,旗標      ,9789863126720,https://cdn.kingstone.com.tw/book/images/product/20131/2013120595064/2013120595064b.jpg
機器學習設計模式,https://www.kingstone.com.tw//basic/2014713616456?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,Valliappa Lakshmanan- Sara Rob,歐萊禮    ,9789865027889,https://cdn.kingstone.com.tw/book/images/product/20147/2014713616456/2014713616456b.jpg
人人都學得會的網路大數據分析入門：一步步教！超詳細！專為非專業人士所寫的機器學習指引,https://www.kingstone.com.tw//basic/2013120591646?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,贊贊小屋,財經傳訊  ,9789860619409,https://cdn.kingstone.com.tw/book/images/product/20131/2013120591646/2013120591646b.jpg
超圖解資料科學X機器學習實戰探索：使用 Python,https://www.kingstone.com.tw//basic/2013120592988?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,陳宗和、楊清鴻、陳瑞泓、王雅惠,旗標      ,9789863126652,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592988/2013120592988b.jpg
打造機器學習應用|從構想邁向產品,https://www.kingstone.com.tw//basic/2014713615374?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,Emmanuel Ameisen,歐萊禮    ,9789865027582,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615374/2014713615374b.jpg
機器學習：彩色圖解 + 基礎數學篇 + Python實作 王者歸來（第二版）,https://www.kingstone.com.tw//basic/2013120586109?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,洪錦魁,深智數位  ,9789865501969,https://cdn.kingstone.com.tw/book/images/product/20131/2013120586109/2013120586109b.jpg
從程式員到AI專家|寫給程式員的人工智慧與機器學習指南,https://www.kingstone.com.tw//basic/2014713615114?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,Laurence Moroney,歐萊禮    ,9789865027773,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615114/2014713615114b.jpg
最踏實AI之路：全白話機器學習一次搞懂,https://www.kingstone.com.tw//basic/2013120582361?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,黄佳,深智數位  ,9789865501884,https://cdn.kingstone.com.tw/book/images/product/20131/2013120582361/2013120582361b.jpg
原來AI這麼簡單！熟練機器學習5大步驟，就算不會寫程式，也能成為AI高手,https://www.kingstone.com.tw//basic/2013120581999?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,AI4kids、曾衒銘,商周出版  ,9789865482350,https://cdn.kingstone.com.tw/book/images/product/20131/2013120581999/2013120581999b.jpg
必學！Python 資料科學.機器學習最強套件：NumPy、Pandas、Matplotlib、OpenCV、scikit－learn、tf.Keras,https://www.kingstone.com.tw//basic/2013120581319?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,株式会社アイデミー 石川聡彦,旗標      ,9789863126157,https://cdn.kingstone.com.tw/book/images/product/20131/2013120581319/2013120581319b.jpg
TQC+ Python3.x 機器學習基礎與應用特訓教材,https://www.kingstone.com.tw//basic/2014713613080?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,林英志(編著),碁峰資訊  ,9789865027599,https://cdn.kingstone.com.tw/book/images/product/20147/2014713613080/2014713613080b.jpg
Python機器學習與深度學習特訓班（第二版）：看得懂也會做的AI人工智慧實戰（附120分鐘影音教學/範例程式）,https://www.kingstone.com.tw//basic/2014713614452?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,鄧文淵(總監製),碁峰資訊  ,9789865026783,https://cdn.kingstone.com.tw/book/images/product/20147/2014713614452/2014713614452b.jpg
TQC+ Python 3.x機器學習基礎與應用特訓教材,https://www.kingstone.com.tw//basic/2013120583283?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,林英志、電腦技能基金會,全華      ,9789865035921,https://cdn.kingstone.com.tw/book/images/product/20131/2013120583283/2013120583283b.jpg
大數據淘金術：Python機器學習高手實彈演練,https://www.kingstone.com.tw//basic/2013120573826?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,謝彥,深智數位  ,9789865501747,https://cdn.kingstone.com.tw/book/images/product/20131/2013120573826/2013120573826b.jpg
機器學習：彩色圖解 + 基礎微積分 + Python實作 王者歸來（全彩）,https://www.kingstone.com.tw//basic/2013120574908?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,洪錦魁,深智數位  ,9789865501761,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574908/2013120574908b.jpg
初探機器學習：從認識AI到Kaggle競賽（學AI真簡單系列1）,https://www.kingstone.com.tw//basic/2015216833555?zone=book&lid=search&actid=WISE&kw=%E6%A9%9F%E5%99%A8%E5%AD%B8%E7%BF%92&pi=0,AI4kids,全華      ,9789865035624,https://cdn.kingstone.com.tw/book/images/product/20152/2015216833555/2015216833555b.jpg
