書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
建築設備最新修訂版：107個規劃與應用知識，有效營造健康舒適、節能永續的居家環境,https://www.kingstone.com.tw//basic/2014410170015?zone=book&lid=book_class3_eik&actid=book_class3_eik,山田浩幸,易博士    ,9789864801794.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410170015/2014410170015b.jpg,"


★最新修訂版
★6大類（給水排水及熱水設備、通風及空調設備、電力及通信設備、辦公室及其他設施設備、挑戰節能的設計、設備圖與相關資料）共107種建築設備應用知識

	 

	最佳應用指南：

	＊了解各類設備最正確、最效率的使用方法，與住宅結合出最完美的居住品質。
	＊實際參與規劃，和建築師一同打造理想的生活空間，讓美好居家的想像能夠具體實現。
	＊建築師、室內設計師、各類設備廠商可用本書的專業解說，來向屋主說明選購須知、以及最有效率的配置方法。

	 

	房子就像我們的身體，骨骼是結構、外表是造型。而建築設備的運作，恰如重要的器官一樣，掌管著建築整體的各項機能，同時也維繫著建築的壽命。不同的設備各自獨立、各有所長，卻也能互相呼應，構成一套完整的生活系統。由於建築設備十分貼近生活，更往往會使人忽略，因而造成使用的失當、伴隨危險；在強調節能、重視環保的今日，也可能會帶來能源的浪費。所以，確實理解各種設備的使用，正是生活的基本常識。

	本書將從理解建築設備的基礎開始，由使用的需求切入探討各種設備與建築整體的相應性，以漸進式、豐富的圖解配置流程圖與計畫施作要點，有系統地引領您進入實際的規畫當中。舉凡生活用水的引入、排放；空調及通風系統的冷、暖氣與氣密性；以及驅動各種設備運作的電力系統、還有符合時代潮流的節能設備，涵括生活所需的細項，深度剖析，完整介紹。

	 

"
最強裝修一流工法：設計師必學，圖面到工地之間最詳細的指導書,https://www.kingstone.com.tw//basic/2014410153087?zone=book&lid=book_class3_eik&actid=book_class3_eik,林良穗,風和文創  ,9789869493208.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410153087/2014410153087b.jpg,"


要做就做到最好的‧第一流的工法就在細節裡
真正結合裝修規劃與施工實務雙重點
面對各種屋況想出最高等級的工程方法
才能真正不後悔
屋主、資深同業大力推薦


	圖會畫，但是你學的工法，是真正經得起考驗的嗎？
	室內裝潢不能只是價格戰
	了解每一個細節與需要與否才是關鍵

	從事室內設計師必備3力
	‧因為客戶預算少馬上就變臉？「態度就是一切。」每個新進設計師都想接大型案子，但是台灣的市場就那麼大，應該對每位屋主的需求認真對待。

	‧空有證照，很會考試，但是當師傅反應圖面與實際狀況有問題時，卻沒有真正到工程現場去深入了解並解決問題？

	‧「維繫一個忠誠顧客比開發一名潛在顧客來得容易，服務做得好，客源鐵定不會少！」

室內設計一流工法面面觀
從基礎工程、天地壁、安規建材建議到家具與櫥櫃的詳細分解

	一、基礎工程
	結構：鋼筋外露、牆面傾斜最嚴重，如何補強？門框歪斜怎麼辦?把房子的「骨架回正」的保固大法看這裡。
	水路‧電路：搶救40年老公寓水路問題，管線換不換？排水、進水、冷熱水管走法有道理，設計師一次教會你。電要多少才夠用？開關、插座迴路分配有大學問。

	二、窗
	採光‧通風：採光與格局配置關係大。窗戶不是有開有風，要開對正確的位置、正確的大小。

	三、天、地
	天花‧地板‧動線：天花板設計最能玩視覺高低魔法，地板要紮實材質工法慎選，動線除了更改格局還有許多妙計可施。

	四、壁
	門‧牆‧櫃：開要左開右大不同，門的位置也是學問，牆與櫃的界線愈來愈模糊。

	五、建材
	安規：全室無毒綠建材或許比你想像中便宜，何不確實了解後再選擇。

本書特色

	想知道為什麼有的設計師案子就是源源不絕嗎？

	•沒有不景氣，只有不爭氣
	設計師林良穗的方法是：建立比標準更高的施工要求，切實執行完成。

	•教工法，也教好心態
	屋主找多家設計公司評估是合理的，想要成功的達成提案，設計師林良穗堅持：每一個工法執行都要文字化、圖像化，才能成為知識留在公司。

	•室內設計學生該讀、新手設計師更該讀---「最高標準施工法寶典」
	想成為成功的室內設計師，先看這一本，來自資深設計師無私分享，補充你在工程實務面欠缺的知識。

	好工法+好心態=源源不絕好生意
	【一流心態】室內設計師的定位：是設計也是服務
	･將建材規格、材質整理在牆面，容易和屋主溝通，以及建立嚴格的施工準則。
	･犯錯就承認、主動通報、馬上解決。
	･聆聽與學習，是設計師最重要的學習過程。

	【真實案例示範】「解決提案」+「施工工法」
	實戰面對問題百出的透天住宅、長型公寓、甲醛過多、挑高住宅、老式電梯大廈，只要碰到難題發生，一定要請多位師傅來評估，經驗不同才能找出最好的方法。

	【自我要求】比「標準施工更高一級」的自我要求
	牆面要加「纖維網」，才不會六個月就看到裂縫?使用綠建材絕對比油漆刷幾道更重要?
	不只告訴你每個施工原理，還有林良穗設計師不藏私的【一流工法】與【補充教材】，將施工分成：「結構」、「水路」、「電路」、「採光通風」、「天花･地坪･動線」、「門･牆･櫃」、安規七大項，從圖面規劃到高標準施工法，好找、好學，沒經驗的你學得會，連企業屋主都滿意的規劃，而且估價不失手。

	【好學好記】「一流POINT提醒」+「快速記憶法整理」
	20年經驗整理出的提醒法與記憶法，嚴格執行、建立規矩，將來才不會有麻煩來找。
	･插座必須是一片牆安排至少一組，還要加預留孔。
	･水管佈線要求橫平豎直，嚴守「左熱右冷，上熱下冷」，最好與牆面邊緣平行，不能隨便做。

"
圖解建築計畫入門：一次精通建物空間、動線設計、尺寸面積、都市計畫的基本知識、原理和應用,https://www.kingstone.com.tw//basic/2014410158457?zone=book&lid=book_class3_eik&actid=book_class3_eik,原口秀昭,臉譜文化  ,9789862357149.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410158457/2014410158457b.jpg,"


――――★★好評暢銷書「圖解建築」系列力作第10彈★★――――

《建築的設備教室》、《圖解RC造建築入門》、《圖解S造建築入門》、
《圖解建築室內裝修設計入門》、《圖解建築施工入門》、《圖解建築結構入門》、
《圖解結構力學練習入門》、《圖解RC造+S造練習入門》、《圖解建築物理環境入門》


▍關於建築計畫一定要懂的事――――
  人體工學 × 環境科學 × 工程學，培養尺度感，打造更好的建築空間

 ․廚房流理臺該做多高最方便？
 ․賣場面積如何規畫最有效益？
 ․什麼形式的住宅最宜居？
 ․辦公室座位如何配置最理想？
 ․劇場舞臺有什麼內行人才知道的奧祕？
 ․開放式店面和封閉式店面各有何優缺利弊？
 ․商務旅館和城市旅館的客房設計考量有什麼不同？
 ․日本對於托兒所和幼稚園的規範有哪些值得借鏡？
 ․學校教室如何運用於社會用途？
 ․圖書館如何管理館藏、書籍如何排架最合理？
 ․醫院病房、診療室、手術室、護理站是怎麼配置的？
 ․美術館展覽室的動線如何設計最適當？
 ․養護之家、護理之家的照護安排是如何進行的？
 ․鄰里如何規畫教育設施和公園綠地設施？

▍280堂建築計畫入門課――――
  Q&A解說 + 插圖圖解 = 輕鬆學習建築計畫！

 ․逐頁問答詳解，搭配精繪插圖，循序漸進介紹建築計畫知識
 ․完整說明整體概念，詳述住宅、辦公室、店鋪、劇場、博物館、學校、鄰里的建構要點
 ․每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元
 ․日本暢銷建築書作家親授掌握建築計畫之道，充實建築計畫知識的必備書

▍最有趣的建築計畫入門書――――
  建築知識的學習起點，一次弄懂建築計畫的門道！

 建築計畫包羅廣泛，本書詳述各類型建物的建築計畫要點，根據使用者來決定尺寸和面積的考量事項，以及如何規畫動線、設計空間。
 全書從各種尺寸、面積、面積比的尺度開始，接著介紹不同機能的計畫，最後是都市計畫，範疇由小而大。此外，書中列舉柯比意、密斯、路康等大師之作，參考借鑑精闢範例，從建築名作中學習。
 全書280個單元，主題含括最入門至較深入的內容，所有說明皆附有圖解，透過圖像化的方式，讓困難的理論變得簡單易懂，容易應用。
 對於想了解建築計畫知識或具體運用於生活中的人，本書都提供了讓人樂在其中的輕鬆學習方式！

▍建築計畫入門16大章節超級學習術――――
  入門前的入門書，基礎前的基礎學！

 01│尺寸
 02│面積
 03│住宅
 04│集合住宅
 05│辦公室
 06│劇場
 07│店鋪
 08│旅館
 09│托兒所・幼稚園
 10│學校
 11│圖書館
 12│醫院
 13│美術館・博物館
 14│社會福利設施
 15│都市計畫
 16│默記事項

"
圖解RC造建築入門：一次精通鋼筋混凝土造建築的基本知識、設計、施工和應用,https://www.kingstone.com.tw//basic/2014410126692?zone=book&lid=book_class3_eik&actid=book_class3_eik,原口秀昭,臉譜文化  ,9789862351529.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410126692/2014410126692b.jpg,"

278堂鋼筋混凝土造建築入門課────Q&A解說 + 插圖圖解 = 輕鬆理解RC造建築！◎一頁一問，搭配精繪插圖，循序漸進介紹鋼筋混凝土造建築知識◎完整說明細節和整體概念，詳盡導讀建物的構造方式及設計施工◎每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元◎日本暢銷建築書作家親授掌握鋼筋混凝土造建築之道，充實實務知識的必備書最有趣的鋼筋混凝土造建築入門書────建築知識的學習起點，一次弄懂RC造建築的門道！現實中的建物是物理性存在的實際物體，透過橫向連結建築各個領域的知識和技術才得以成立。 因此，關鍵在於必須學習實用學問的建築、現實中的建物。本書介紹鋼筋混凝土造建物的建造、構造方式、材料，以及設計和施工時必須理解的最低限度知識。將這些非常基本的知識，某種程度分門別類，再彙集成冊。主題的排列順序，先從建物整體的樣貌開始，再學習混凝土和鋼筋的性質。然後循序漸進，學習軀體、地盤、基礎、鋼筋、澆置、防水、門窗、裝修、室內裝修的基本事項。依序閱讀，就能學習到RC造的整體樣貌、結構體的構造，以及各種工程的知識。對於想學習建築基本知識但因學校課程過度細分而愈唸愈不懂的人，或者想了解建築實用學問的人，本書都提供了讓人樂在其中的輕鬆學習方式！RC造建築11大章節超級學習術────入門前的入門書，基礎前的基礎學！1.結構方式：框架和承重牆╱底層架空和懸臂╱其他結構2.RC：RC的性質╱RC的製作方法╱混凝土的成分3.軀體：軀體╱跨距╱梁╱牆╱樓板4.地盤：地盤調查╱地層5.基礎：基礎的種類╱地下室╱電梯6.鋼筋：鋼筋的種類╱配筋╱套筒╱覆蓋厚度7.澆置：連續澆置╱器具╱配管╱部位別╱混凝土的缺點╱錨定物╱嵌入件8.防水：屋頂上處理╱地板高程9.門窗：窗框╱鋼製門╱室內門╱玻璃10.裝修：磁磚╱石╱塗料11.室內裝修：住戶內部的牆╱隔熱材╱牆╱天花板╱室內裝修用板╱端部的收飾╱地板
                    
"
建築的設備教室：圖解建築設備入門，一次精通水、空氣、電力的基本知識和應用,https://www.kingstone.com.tw//basic/2014410125350?zone=book&lid=book_class3_eik&actid=book_class3_eik,原口秀昭,臉譜文化  ,9789861209289.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410125350/2014410125350b.jpg,"

293堂建築設備入門課――――Q&A解說 + 插圖圖解 = 輕鬆理解建築設備！◎一頁一問，搭配精繪插圖，循序漸進介紹建築設備知識◎完整說明細節和整體概念，詳盡導讀與生活密切相關的水、空氣、電力◎每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元◎日本暢銷建築書作家親授掌握建築設備之道，充實實務知識的必備書最有趣的建築設備入門書――――建築知識的學習起點，一次弄懂建築設備的門道！隨著人類歷史共同演進的建築物，以及建築物附屬的設備，其實也隨著人類的歷史不斷向前邁進，累積了人類所有的知識和智慧。本書集結這些知識智慧，濃縮焦點，集中撰寫水、空氣、電力等具體的基本設備，詳細解說設備基礎設施、供水、熱水供水、排水、衛生、瓦斯、空調、電力、消防和防災、運送。每個項目的進行方式都是由細節至總體，接著是系統和理論。作者參照手邊的執行圖面、各家業者的型錄、網路檢索的資料和影像，並委請多位專家指導，甚至拆解身邊的物品，繪製出書中精細的插圖。本書協助讀者全盤概略了解建築設備相關的基本事項。既是建築系學生淺顯易懂的參考書，建築師和建築工程人員好用的考試入門書，也是獲知設計和現場必要實務知識的完備實務書。水、空氣、電力10大章節超級學習術――――入門前的入門書，基礎前的基礎學！1. 設備基礎設施：建地調查╱上下水道╱瓦斯╱電力╱油2. 供水設備：引管╱管╱管的連接╱管的保護╱蓄水池和高處水塔╱水位調整╱防止搖動震動的接頭╱閘門閥和逆止閥╱檢查•維修╱供水方式╱供水管的問題╱供水量╱供水栓╱泵浦╱物理單位╱水壓和流量3. 熱水供水設備：管╱膨脹對策╱熱水供水方式╱熱水供水量4. 排水設備：圖面符號╱通氣方式╱陰井╱存水彎╱破封的原因╱淨化槽的管理5. 衛生器具：洗淨方式╱排水盆和琺瑯6. 瓦斯設備：安全對策╱瓦斯機器7. 空調設備：風管╱出風口╱截底╱空調方式╱風機盤管空調系統╱加熱泵浦╱空調機器╱冷凍機╱鍋爐╱熱的利用╱空氣線圖8. 電力設備：電線和電纜╱電線•電纜的保護╱導管和配線╱開關和插座╱照明器具╱電力的引入9. 消防•防災設備：消防方式╱感應器╱排煙方式10. 運送設備：電梯╱電扶梯
                    
"
圖解木造建築入門,https://www.kingstone.com.tw//basic/2014410123516?zone=book&lid=book_class3_eik&actid=book_class3_eik,原口秀昭,積木文化  ,9789866595424.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410123516/2014410123516b.jpg,"

　　木造建築是一種從人出發，貼近自然，　　比我們想像中更細緻、更實用的建築形式。　　木造建築若能正確施工，　　將具備廢材回收再利用效益高、固碳功能佳、　　施工期短、自動調節室內溫濕度、防防黴等優點。　　在日本，木造建築是極為普遍的民居建築，　　超過千年的歷史使其工法臻至成熟、細緻，　　不僅成為最饒富趣味的建築形式，　　更值得木造建築比例極少的台灣作為借鏡。　　本書擺脫一般教科書艱澀難懂的格式，　　以288個Q＆A單元、搭配清楚易懂的插圖，　　依建築工程興建順序，由基礎到屋頂、從外部裝修到內部裝潢，　　完整介紹木造建築主體結構的專有名詞及基礎知識。　　全書並以淺顯易懂的文字書寫，　　讓沒有相關知識基礎的讀者也能輕鬆閱讀、進入木造建築領域。
                    
"
如何在果凍上蓋城市？從工法到歷史，由地底到空中，結構工程師帶你解開構造奧祕，了解建築是怎麼一回,https://www.kingstone.com.tw//basic/2014410159829?zone=book&lid=book_class3_eik&actid=book_class3_eik,羅瑪．艾葛拉瓦,臉譜文化  ,9789862357507.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410159829/2014410159829b.jpg,"


如果工程師建造的東西一瞬間消失了，世界會變得怎樣？沒有樓房、沒有橋梁、沒有隧道和下水道。
	沒錯，地表將空無一物！幾乎什麼也沒有！

	連專家都不知道怎麼建造聖母百花大教堂的穹頂，卻被一個「瘋子」用簡單方法解決了。
	近千公尺的杜拜哈里發塔，結構原理竟和成束的吸管異曲同工？
	一趟與結構技師同遊的結構物深度導覽，見證古今中外的建築工程如何逐漸形塑文明城市的樣貌。

	呂良正　台灣大學土木工程學系教授──專業審定

陳惠玉　台灣物理學會 「物理雙月刊」總編輯／國立中興大學物理系教授
張燕玲　台灣科技大學營建工程系教授
謝紹松　永峻工程顧問公司董事長／台大土木系兼任教授
簡麗賢　北一女中物理教師
	──盛情推薦

	以建築物探索土木工程學，由內部建材到外部結構，從地下水宮殿到現代摩天大樓，
	用深入淺出的物理概念、材料科學與歷史，帶你逐一揭露那些隱藏在柱裡梁間鮮為人知，卻又精采絕倫的故事。
	 
	如果有一天工程消失了，世界將很有可能變得什麼也沒有。因為即使平常不容易察覺，工程卻大大影響我們的日常生活。參與英國夏德塔的頂尖結構技師羅瑪．艾葛拉瓦將用自己的親身經歷，穿插一系列手繪插圖，向你道來在建築工程裡的趣聞祕辛。
	 
	●為什麼混凝土柱都是長方體，天花板桁架卻是三角形？──建物的結構奧秘
	看似安穩矗立在地面的結構物其實受到許多隱形的外力，怎麼讓超高大樓可以在強風吹襲下依然不倒？大樓表面三角形的構架只是為了美觀嗎？為什麼鋼樑都是Ｉ字形，混凝土梁卻是長方體？台北一○一的巨大金色阻尼器如何在地震時確保建築物安然無恙？

	●傳統製磚就像烤蛋糕，加水果汁液還要送進烤爐？──結構的材料科學
	如果結構是建築的內外骨骼，建材就像建築物的血肉，它大大影響結構物的形狀和特性。怎麼利用金屬的彈性讓纜線斷掉時不讓電梯下墜？你是否曾經好奇為什麼磚頭總是長方體，而且總是那個長寬高比例？如今廣泛使用的鋼竟是「意外」的發明？第一個懂得用神奇混凝土製造房屋的究竟又是誰？
	 
	●建造好工程還得有點怪咖傾向──工程學的奇聞軼事
	本書也會帶你回到早期發展的城市，跟著作者羅瑪・艾葛拉瓦到墨西哥去看一棟「蓋在果凍上」的華美教堂，告訴你結構技師怎麼想盡辦法讓教堂「浮」在土地上？英國的工程師怎麼從一條吃木頭的生物，獲得興建全球第一條河底隧道的靈感？還有（你最好捏緊鼻子），回到十九世紀臭烘烘的倫敦市，看工程師如何建造下水道系統來排解惱人的「黃金」災難。
	 
	我們可能對自家住屋與附近的建築所知甚少，對馬路邊的下水道施工也毫無概念，但如今人類能享受舒適的生活，工程功不可沒。閱讀本書之後，你將感受到一位結構技師對工程的熱愛之情，你也將用工程師的眼光重新看待自己的生活周遭。

"
建築計畫：一個從無到有的設計思考過程與可行之道,https://www.kingstone.com.tw//basic/2014410158587?zone=book&lid=book_class3_eik&actid=book_class3_eik,李峻霖,五南      ,9789577631114.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410158587/2014410158587b.jpg,"


	本書作為相關建築系所學生在進入建築設計課程操作前的基礎入門讀物，我們的著眼點在於一個建築計畫首重設計分析、設計思考與設計決策這三者的完整度與深度，接續是執行設計構想的可行之道，諸如結構計畫、機電計畫、財務計畫、永續計畫……等。本書提供了相關學院裡中低年級同學進入建築設計課程的操作前，關於建築設計的基本認知與前置作業的架構說明，希望藉由此一基礎入門之介紹能夠給予同學建構一個與設計教師溝通的專業平臺，也就是建立一個共同的建築空間語言基礎。
	　　
	我們同時希望強化同學在建築設計程序上的觀念，並提供初步的設計思考學理說明介紹與方向，讓學生能夠逐漸地在學習建築設計的過程中建構一個屬於自己的設計方法論；另一個在書中不斷強調的是建築計畫的內涵是建構在以設計分析、設計思考與設計決策為基礎並據以擬定將其付諸實踐的各項專業行動計畫。
	　　
	當前臺灣建築界需要的是一種面對地域環境種種課題的深刻反省與態度之積極論述，進而採取一種永久且持續性的空間實踐，而不是聚焦在風格呈現的自我陶醉中。最後，我們由衷的希望仍在建築這條路上奮進與堅持的準建築人們，請先學會走，走穩了再跑，會跑了之後再飛，只有你∕妳相信自己能飛，你∕妳才有機會展翅高飛！

"
Timberize TAIWAN─都市木造的未來：新式木結構建築沿革與展望的完整報告,https://www.kingstone.com.tw//basic/2014410157115?zone=book&lid=book_class3_eik&actid=book_class3_eik,蔡孟廷、方尹萍、張紋韶,麥浩斯    ,9789864084067.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014410157115/2014410157115b.jpg,"


從追求「永垂不朽」到「永續循環」，
	21世紀以後的建築和都市，可以有什麼樣的面貌？
	 
	│ 本書特色 │
	1/ Timberize 新式木構建築沿革與展望完整報告
	2/ 木結構設計的獨特美感影像、細部設計圖解，理論與實務操作兼具
	3/ 借鑑他方之石：日本、歐洲木造建築實例說明
	4/ 台灣新式木造建築案例與Timberize TAIWAN競圖成果
	5/ 解析產業鏈現況、發展遇到的瓶頸與可能破口，提供台灣發展高層都市木造建築的方向
	 
	 
	建築材料、結構與生活和理念暗喻相扣，
	歷史上木材是建築重要的材料，
	隨著科技演進、製材加工技術日新月異，
	木構造已一掃昔日古舊傳統印象，與時俱進，
	能與現代生活接軌、甚至可建造高層樓建築。
	 
	台灣早期因氣候地理條件，過往林業曾盛極一時，
	但後因種種原因而停止發展林業，自林業延伸的木業也隨之沒落，
	本書爬梳台灣木構造建築沿革的啟、承、轉，
	面對環境氣候的挑戰，如蟲害、潮濕，
	解析木材來源及結構性能研究，
	找到實務面的solution，並做到耐震、抗風、防火，
	而能達到固碳、建立永續循環的系統，
	借鑑國際木構造先進國經驗，探尋台灣都市木造的可能型態。

"
給水工程原理與設計,https://www.kingstone.com.tw//basic/2014450042839?zone=book&lid=book_class3_eik&actid=book_class3_eik,陳國宏,五南      ,9789571197661.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014450042839/2014450042839b.jpg,"


	人為污染及全球氣候變遷持續帶來水質與水量的衝擊，復以對飲用水的品質要求日益提高，改善及提供乾淨的公共生活用水，並確保淨水場操作的優化管理與淨水處理程序升級，已成為全民的共識。

	本書為符合二十一世紀的給水工程設計與操作實務之工具書，內容涵蓋給水工程範圍內自取水至送水端管線、淨水場各處理單元的基本原理及設計規範，並連結作者多年工程實務經驗，介紹已應用於台灣實場的特殊淨水單元設備，期提升讀者對淨水實務工程的認識及設計能力。

	全書兼顧給水工程的理論與實務，並提供例題與詳細推導協助讀者理解，做為大專用書、工程設計人員的工具書，亦可供國家專業技術考試參考。

"
