書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小（康老師）社會講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216904767?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,良品      ,9789860738698.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216904767/2015216904767b.jpg,0
國小課堂評量｛康版｝社會四上（110學年）,https://www.kingstone.com.tw//basic/2015216928329?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,明霖      ,4081135401906.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216928329/2015216928329b.jpg,0
國小康軒新挑戰社會自修四上（110學年）,https://www.kingstone.com.tw//basic/2015216932104?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,康軒      ,9789865353445.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216932104/2015216932104b.jpg,0
國小康軒新挑戰學習評量社會四上（110學年）,https://www.kingstone.com.tw//basic/2015216934108?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,康軒      ,9789865353551.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216934108/2015216934108b.jpg,0
國小康軒新挑戰測驗卷社會四上（110學年）,https://www.kingstone.com.tw//basic/2015216935990?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,康軒      ,204080700371.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216935990/2015216935990b.jpg,0
國小(康老師)社會四下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216789081?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,良品      ,420090401080.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216789081/2015216789081b.jpg,0
國小(康版)社會評量講義四下(109學年),https://www.kingstone.com.tw//basic/2015216794818?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,明霖      ,4072135401904.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216794818/2015216794818b.jpg,0
國小(康版)社會評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216409712?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216409712/2015216409712b.jpg,0
國小(康版)社會評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216166905?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216166905/2015216166905b.jpg,0
國小(康老師)社會評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216181779?zone=book&lid=book_class3_tdy&actid=book_class3_tdy,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216181779/2015216181779b.jpg,0
