書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
R語言：量表編製、統計分析與試題反應理論,https://www.kingstone.com.tw//basic/2013120592858?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,陳新豐,五南      ,9789865227982.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592858/2013120592858b.jpg,"


	◎詳細說明量化研究中資料處理。
	◎扎實的統計方法說明，提供不同情境的分析範例。
	◎以圖片詳實說明操作流程，同時輔助學習R語言。

	本書介紹R語言在量化資料分析上的應用，並從量化資料的各種分析方法中，以理論配合實例分析加以說明。內容共分為11章，分別是R語言簡介、量表題目分析、量表信度與效度分析、平均數差異檢定、共變數分析、相關與迴歸、卡方考驗、時間序列分析，以及試題反應理論分析等。

	本書以實務及理論兼容方式介紹量化資料的分析方法，各章節均以淺顯易懂文字與範例說明量化資料的統計分析策略，透過R程式設計與統計科學相關的學習，培養邏輯、系統化思考等運算思維。本書內容並包含運算實作，增進運算思維的應用能力，對於初次接觸量化資料的讀者，於研究論文的結果與分析上，一學就懂！而對於已有相當基礎的量化資料分析者，更是豁然開朗。

"
輕鬆學習R語言（第三版） 從基礎到應用，掌握資料科學的關鍵能力,https://www.kingstone.com.tw//basic/2014713616876?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,郭耀仁,碁峰資訊  ,9789865028374.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713616876/2014713616876b.jpg,"

寫作風格簡潔易懂，是初學R語言的首選推薦！ *R4.0起不再將資料框的文字預設為因素向量，在第三版中降低了因素向量的重要性，僅將向量、清單與資料框列為三個必修資料結構。 *第三版更新2018到2021年程式語言排名變化，讀者能觀察到以資料分析為主應用的語言均呈現整體上升趨勢。*一本閱讀起來不那麼生澀的程式語言書籍，讓原本沒有程式基礎但工作上有分析需求的使用者，如：產品經理、商業分析師或行銷企劃人員，能夠輕鬆學會R語言，進而應用到工作中，提升工作效率。 *內容簡單扼要，用語平易近人，淺顯易讀，能幫助初學者在最短時間上手R語言。 *說明皆同時附程式與輸出結果，即便不跟著執行程式也能輕鬆掌握。 *本書適合從未接觸過R語言、想學習R語言的資料處理與探索性分析的初學者，以及使用過R語言但只是快速應用套件而無法自己撰寫程式解題的初階使用者。
                    
"
愛上統計學：使用R語言,https://www.kingstone.com.tw//basic/2015100035171?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,尼爾．J．薩爾金德,五南      ,9789865224530.0,https://cdn.kingstone.com.tw/book/images/product/20151/2015100035171/2015100035171b.jpg,"


	YA！我喜歡統計學！R語言版來了！
	你也許常聽到「統計學好難喔」、「念統計有什麼用」這樣的話，
	那只是很少人發現統計學的魅力，這本書將顛覆你的刻板印象！
	外表看似枯燥又艱深，骨子裡卻是有趣又實用，
	講解觀念親切生動，讓你一不小心就愛上統計學了。

	※每章均附「真實世界的統計」，讓你知道統計其實默默地貼近你的生活。
	※互動式學習網站加深你與統計學的情感連結。
	※本書附有資料檔，請至五南官網輸入本書書號，即可找到資料下載處。

	學統計學也可以很輕鬆！
	讀者千呼萬喚的R語言版也出來囉！
	這是一本關於基礎統計學，以及在不同情況下，如何應用統計學分析和理解資料的書。本書理論的部分、數學證明或特定數學程式的討論很少。為什麼呢？很簡單，因為目前的你還不需要。
	這本書針對學生而寫，但並非降低標準，而是盡可能給予充分資訊，展現基本概念及最常用的技術。本書也沒有設定在接觸之前需要具備什麼知識，全書進度安排得宜，讓學生按自己的節奏安排進度。
	本書將教你如何精準善用統計學，搭配廣泛運用於統計領域的R語言，讓它成為你研究或工作上最好的夥伴。

"
機器學習入門：R語言（附範例光碟）,https://www.kingstone.com.tw//basic/2013120575790?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,徐偉智、社團法人數位經濟發展,全華      ,9789865035334.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120575790/2013120575790b.jpg,"

機器學習是AI人工智慧的基礎，但機器學習本身是門較高深的課程，而本書為了讓讀者能夠輕易理解，除了從入門者的角度做編寫外，並且利用R的簡潔代碼，來輕鬆駕馭繁雜的統計模型。書中先講述AI及R語言，從R安裝、基礎語法到進階語法，讓讀者能夠先掌握R語言，接著經由R來講述機器學習的各種實作項目，如資料分析、線性回歸模型及模型評估等，藉此能夠將R活用，並且對於機器學習有更進一步的認識。本書適用於大學、科大資工、電機、電子、電通科系「機器學習」課程使用。
                    
"
R語言邁向Big Data之路：王者歸來（第二版）,https://www.kingstone.com.tw//basic/2013120568839?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,洪錦魁、蔡桂宏,深智數位  ,9789865501655.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120568839/2013120568839b.jpg,"


王者回來了！
	R語言與Big Data的最強結合


重磅新增
	2015年這本書的第一版上市，隨即獲得許多好評，也獲得許多大專院校選為上課教材，這本書是第2版，相較第一版基本上增訂下列資訊：
	將R的軟體改為最新版測試，可以參考附錄A。
	附贈全書實例檔案。
	讀者附贈是非、選擇、複選題的題目與解答，這些題目是美國Silicon Stone Education的國際證照考古題，另外加贈偶數實作題解答。

教學資源說明
	本書所有習題實作題均有習題解答，如果您是學校老師同時使用本書教學，歡迎與本公司聯繫，本公司將提供習題解答。
	另外，本書也有教學簡報檔案供教師教學使用。

讀者資源說明
	請至本公司網頁deepmind.com.tw下載本書程式實例，此外，讀者也可從所下載的資源獲得實作題偶數題的解答。

本書特色

	1：完全零基礎可以輕鬆學習。
	2：學習最新版R語言。
	3：從無到有一步一步教導讀者R語言的使用。
	4：學習本書不需要有統計基礎，但在無形中本書已灌溉了統計知識給你。
	5：精彩的圖表製作，讀者可以學會資料視覺化使用R。
	6：完整講解所有R語言語法與使用技巧。
	7：豐富的程式實例與解說，讓你事半功倍。
	8：全書涵蓋是非、選擇、複選習題解答。
	9：讀者贈送全部偶數題實作題解答。

"
資料科學的良器：Ｒ語言在開放資料、管理數學與作業管理的應用,https://www.kingstone.com.tw//basic/2013120559004?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,廖如龍、葉世聰,博碩文化  ,9789864345175.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120559004/2013120559004b.jpg,"


	從幾年前開始教管理數學時，發現在教學上，花太多時間在計算上，勾起以前學習數學、統計以及多變數分析時的挫折。同樣的經驗 也出現在教作業管理，有關流程分析或解學習曲線、品質管理的管制圖上；心想若能輔以 R 語言的語法或操作，在瞭解原理後，將複雜的計算交給 R 語言，也會提升學習的效果；利用 R 語言可以省掉這些相對是細微末節的計算，專注在理解問題的本質、有效的定義問題以及解決問題的方式，這應該也是「博雅教育」(Liberal arts)的本質吧！

	 

	R 語言因為具有簡單、互動、有趣特色，讓使用者在學習的過程可以達到這個效果。可以扮演「寫程式」的能力的第一哩路，甚至在資料分析、圖形呈現的最後一哩路。

	 

	第一篇介紹 R 語言概論，但是跟同類的書籍處理上不一樣，因為我們試圖重點放在解決管理領域的問題，所以把第一章擺在附錄；第二篇探討巨量資料、開放資料與 R 語言；第三篇探討 R 語言在管理數學的應用。第四篇探討 R 語言在作業管理的應用。

	 

本書特色

	 

	1. 直指管理學領域應用的層面，而不是純粹的談R程式語法。

	2. 就教科書上的繁瑣計算題目，以R語言來輔助，增加學習興趣與效果。

	3. 延伸教科書的實例到實際運用，譬如心臟移植手術存活率。

	4. 詳細的程式碼解說，每個實例都可以是本書的起讀點。

	5. 透過本書的R軟體的解方，找到一個快速上手與便利的工具，也從似曾相識到熟練。

	6. 「開放資料」倡議與機會，呈現數據可視化(data visualization)和地理定位(geolocation)功能。

	7. 以不同單利、複利的年利率，看長期報酬率；以及一美分幣翻倍31天後的神奇力量(The Magic Penny)。

	8. 達到可視化、互動的資料分析，譬如柏拉圖(Pareto chart)、品質管制圖。

	9. 很多傳統需要用查表的管理手法，譬如品管管制圖，可以直接用R來處理。

	 

	【下載範例程式檔案】

	本書的程式碼是由GitHub託管，可以在如下網址找到：github.com/hmst2020/HS-I-/tree/master/R。

	 

"
資料科學的良器：R語言在開放資料、管理數學與作業管理的應用,https://www.kingstone.com.tw//basic/2800000036912?zone=ebook&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,廖如龍、葉世聰,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120559004/2013120559004b.jpg,"


	從幾年前開始教管理數學時，發現在教學上，花太多時間在計算上，勾起以前學習數學、統計以及多變數分析時的挫折。同樣的經驗 也出現在教作業管理，有關流程分析或解學習曲線、品質管理的管制圖上；心想若能輔以 R 語言的語法或操作，在瞭解原理後，將複雜的計算交給 R 語言，也會提升學習的效果；利用 R 語言可以省掉這些相對是細微末節的計算，專注在理解問題的本質、有效的定義問題以及解決問題的方式，這應該也是「博雅教育」(Liberal arts)的本質吧！

	 

	R 語言因為具有簡單、互動、有趣特色，讓使用者在學習的過程可以達到這個效果。可以扮演「寫程式」的能力的第一哩路，甚至在資料分析、圖形呈現的最後一哩路。

	 

	第一篇介紹 R 語言概論，但是跟同類的書籍處理上不一樣，因為我們試圖重點放在解決管理領域的問題，所以把第一章擺在附錄；第二篇探討巨量資料、開放資料與 R 語言；第三篇探討 R 語言在管理數學的應用。第四篇探討 R 語言在作業管理的應用。

	 

本書特色

	 

	1. 直指管理學領域應用的層面，而不是純粹的談R程式語法。

	2. 就教科書上的繁瑣計算題目，以R語言來輔助，增加學習興趣與效果。

	3. 延伸教科書的實例到實際運用，譬如心臟移植手術存活率。

	4. 詳細的程式碼解說，每個實例都可以是本書的起讀點。

	5. 透過本書的R軟體的解方，找到一個快速上手與便利的工具，也從似曾相識到熟練。

	6. 「開放資料」倡議與機會，呈現數據可視化(data visualization)和地理定位(geolocation)功能。

	7. 以不同單利、複利的年利率，看長期報酬率；以及一美分幣翻倍31天後的神奇力量(The Magic Penny)。

	8. 達到可視化、互動的資料分析，譬如柏拉圖(Pareto chart)、品質管制圖。

	9. 很多傳統需要用查表的管理手法，譬如品管管制圖，可以直接用R來處理。

	 

	【下載範例程式檔案】

	本書的程式碼是由GitHub託管，可以在如下網址找到：github.com/hmst2020/HS-I-/tree/master/R。

	 

"
財金時間序列分析：使用R語言,https://www.kingstone.com.tw//basic/2013190030083?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,林進益,五南      ,9789577637604.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013190030083/2013190030083b.jpg,"


✎為實作派的你而寫——翻開本書，即刻上手！
✔提供完整程式語言，對照參考不出錯
✔多種程式碼撰寫範例，臨陣套用、現學現賣

	未來的國際通用語言只有一種——程式語言。FinTech強勢佔領金融市場，想在瞬息萬變的財金領域脫穎而出，就要具備程式語言邏輯的知能。

	●打造沉浸式R語言的學習環境
	本書用統計學觀點，檢視實際的財金時間序列資料，臨場感十足。讀取、計算、模擬、編表或繪圖，皆詳細收錄對應的R程式，不省略不馬虎，對應實作好簡單。

	●比起理論，更重視實際操作
	不僅強調理論與實際結合，同時包括蒙地卡羅、拔靴與貝氏計量等模擬方法。提供許多R程式碼撰寫範例，情境式學習，效果更加分。

	●拜程式語言的強大，學習門檻大幅降低
	除了適合大學部或研究所的 「時間序列分析」 、「計量經濟學」 或 「應用統計」 等課程；搭配貼心解說的「附錄」使用，也適合從零開始的讀者自修。

"
大數據、AI應用趨勢與R語言案例分析（附範例光碟）,https://www.kingstone.com.tw//basic/2015216334472?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,黃正傑,全華      ,9789865033026.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216334472/2015216334472b.jpg,"

大數據與人工智慧是驅動各行各業智慧應用的核心技術，然而，大數據與人工智慧不僅包含IT技術，亦融合統計學，更可說是數據科學。本書主要目的在於讓讀者能理解大數據在IT技術上的基礎概念以及預測分析、人工智慧上的基礎演算方法與實作範例。更重要的是，協助讀者從應用情境、商業分析的角度，往下思考可能的數據分析問題與發展預測分析、人工智慧問題解決方法，諸如：聚類、分類、相似、異常、關聯、關係、鏈結、認知等以及合適的IT架構。本書應為理解大數據、人工智慧技術與方法起點，可作為商管學生、商業人士理解大數據、人工智慧實務與應用技術方法的初步，也可作為資訊學院學生從應用角度理解大數據、人工智慧技術的開始。
                    
"
輕鬆學習R語言：從基礎到應用，掌握資料科學的關鍵能力（第二版）,https://www.kingstone.com.tw//basic/2014713586834?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,郭耀仁,碁峰資訊  ,9789865022433.0,https://cdn.kingstone.com.tw/book/images/product/20147/2014713586834/2014713586834b.jpg,"

寫作風格簡潔易懂，是初學R語言的首選推薦！一本閱讀起來不那麼生澀的程式語言書籍，讓原本沒有程式基礎但工作上有分析需求的使用者，如：產品經理、商業分析師或行銷企劃人員，能夠輕鬆學會R語言，進而應用到工作中，提升工作效率。 *內容簡潔易懂，適合沒有程式基礎的初學者。 *說明皆同時附程式與輸出結果，即便不跟著執行程式也能輕鬆掌握。 *作者兼具多年業界工作與講師授課經驗，有效掌握初學者的困惑點。 *口語化表達，用語平易近人，淺顯易讀。 *內容簡單扼要，能幫助初學者在最短時間上手R語言。 *本書適合：從未接觸過R語言、想學習R語言資料處理與探索性分析的初學者，以及使用過R語言但只是快速應用套件而無法自己撰寫程式解題的初階使用者。
                    
"
實用統計學－使用Excel、SAS、R語言分析,https://www.kingstone.com.tw//basic/2015216011069?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,洪來發,全華      ,9789864639410.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216011069/2015216011069b.jpg,"

本書共分十一章，涵蓋市面上一般統計學教科書編寫的範圍。編寫方式分為筆算和電腦分析，筆算是為了讓讀者了解計算過程，筆算後緊接著解法分析，目的是讓讀者了解為什麼要這樣計算。除了筆算外，本書亦側重電腦分析，列有Excel、SAS、R分析供讀者對照學習。面對大數據分析的迫切需求，本書每個章節針對統計理論搭配R程式供學生學習，這對於日後接續學習高階大數據分析有著極大的幫助。
                    
"
衍生性商品：使用R語言,https://www.kingstone.com.tw//basic/2015630637395?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,林進益,五南      ,9789577631107.0,https://cdn.kingstone.com.tw/book/images/product/20156/2015630637395/2015630637395b.jpg,"


	◎學習衍生性金融商品的最佳選擇，理論與實務兼顧，每章皆附習題演練。
	◎使用免費軟體Ｒ來學習，取代手算及背誦龐雜資料。
	◎避開繁瑣的數學推導過程，使用Ｒ語言處理和解說，實務操作更好上手。
	◎本書資料、計算、製表及繪圖等動作皆有對應的R指令，讓衍生性商品從業人員、
	投資人與學習者能得到更多專業知識。

	隨書附贈資料檔光碟

	不認識衍生性金融商品，就不了解當代財務管理與金融市場的運作！　
	金融市場的交易處處可見風險，但隨著時間演變，自然發展出金融工具以處理風險，該工具就稱為衍生性商品，是由利率、匯率、股價、指數、商品所衍生之交易契約。其收益是衍生於現有市場的工具或價格變動，可以說是一個吸引人且具挑戰性的項目。
	本書介紹的衍生性金融商品內容包含基礎導論、選擇權交易策略、遠期與期貨交易、二項式定價模型、BSM模型、蒙地卡羅方法、美式選擇權、新奇選擇權、利率與利率交換和利率模型。全書以R語言介紹衍生性金融商品的原理，以初學者角度編撰，避開繁雜數學式，是一本讓讀者同時能看懂也可以熟悉操作的實用工具書！

"
R語言資料分析：從機器學習、資料探勘、文字探勘到巨量資料分析 [第三版],https://www.kingstone.com.tw//basic/2800000024960?zone=ebook&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,李仁鐘、李秋緣,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495883/2013120495883b.jpg,"


 巨量資料時代來臨，
 你需要最新、最實用、功能最強的資料分析工具─R語言

 R是一套自由免費的軟體，具有入門容易、使用簡單之特色，目前多應用於機器學習、資料探勘、文字探勘、統計分析及巨量資料分析等領域。

 本書第1至5章先介紹R的基本操作及應用，包括認識R語言特性、資料讀取及寫入方式，接著介紹R的繪圖功能及相關套件之運用；第6至9章介紹各類學習演算法，如：決策樹、K平均算法、基因演算法等，每一章節都加入範例供讀者即時練習；第10至12章介紹關聯性規則、社群網路分析、文字探勘及圖形化資料分析工具等內容，將R軟體在資料分析上的使用作更完整的補充，對於沒有程式設計經驗的讀者來說，本書是入門的最佳選擇；第13章及14章加入巨量資料分析介紹，讀者可先了解Hadoop基本原理並充分結合R與Hadoop之功能；讀者亦可了解Spark基本原理並充分學習SparkR之功能，進而導引讀者進入巨量資料分析的殿堂；第15章加入SparkR應用，讀者可瞭解如何應用SparkR。

 本書特色
 1. 各章節皆附範例實作，幫助初學者從做中學，增加練習機會，同時培養自行撰寫程式之能力。
 2. 附錄加入R、RStudio、Hadoop及Spark軟體的下載及安裝步驟，指令清楚、操作容易，讓讀者輕鬆完成安裝。

  

"
Ｒ語言資料分析：從機器學習、資料探勘、文字探勘到巨量資料分析 （第三版）,https://www.kingstone.com.tw//basic/2013120495883?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,李仁鐘、李秋緣,博碩文化  ,9789864343669.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495883/2013120495883b.jpg,"


 巨量資料時代來臨，
 你需要最新、最實用、功能最強的資料分析工具─R語言

 R是一套自由免費的軟體，具有入門容易、使用簡單之特色，目前多應用於機器學習、資料探勘、文字探勘、統計分析及巨量資料分析等領域。

 本書第1至5章先介紹R的基本操作及應用，包括認識R語言特性、資料讀取及寫入方式，接著介紹R的繪圖功能及相關套件之運用；第6至9章介紹各類學習演算法，如：決策樹、K平均算法、基因演算法等，每一章節都加入範例供讀者即時練習；第10至12章介紹關聯性規則、社群網路分析、文字探勘及圖形化資料分析工具等內容，將R軟體在資料分析上的使用作更完整的補充，對於沒有程式設計經驗的讀者來說，本書是入門的最佳選擇；第13章及14章加入巨量資料分析介紹，讀者可先了解Hadoop基本原理並充分結合R與Hadoop之功能；讀者亦可了解Spark基本原理並充分學習SparkR之功能，進而導引讀者進入巨量資料分析的殿堂；第15章加入SparkR應用，讀者可瞭解如何應用SparkR。

 本書特色
 1. 各章節皆附範例實作，幫助初學者從做中學，增加練習機會，同時培養自行撰寫程式之能力。
 2. 附錄加入R、RStudio、Hadoop及Spark軟體的下載及安裝步驟，指令清楚、操作容易，讓讀者輕鬆完成安裝。

  

"
R語言的資料採礦導引：大數據時代的資料分析,https://www.kingstone.com.tw//basic/2013120480506?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,陳鴻敏,易習圖書  ,9789578755550.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120480506/2013120480506b.jpg,"

近數年各行各業的發展都朝網路及大數據靠攏，他們需要懂得網路運作的法政人才、了解數據分析的銷售人才、擅長數位技術的金融人才、孰悉資訊技術的醫療人才、深諳資料處理及分析的文學人才。過去，想要跨足資訊領域很困難，因為門檻很高（無論是軟硬體的需求都很昂貴而且學習困難），所以資訊科班出身的人才很吃香，但未來人才的競爭力來自於跨領域的能力，光靠資訊技術難以滿足創新時代的要求，反而是那些具備理工、法商、文史、生醫等專業而又懂得資料處理者才是時代的寵兒。因為現代資訊領域的門檻已大幅降低，金費及時間已不是問題，只要您願意突破心理障礙，大膽跨入新領域，就會有驚人的收穫。本書旨在協助您跨足新領域、展開新視界，讓您成為高人一等的Data Analyst數據分析師，或Big Data Engineer大數據工程師。由於網路交易的頻繁及政府資料庫的開放，資料的產出如海水般湧入，資料的取得及保存也「易於往昔」，故如何運用電腦從中挖掘有用的資訊，以提高決策品質，才是今日各界需要面對的重點，但是怎麼挖？用甚麼工具挖？資料採礦涉及許多不同的演算方法，如果不能了解其演算原理，就會陷入「知其然而不知其所以然」的盲點，甚或誤用採礦方法。坊間有關資料採礦的書籍很多，但多欠缺深入的解說，只是重點翻譯或是規則重述，沒有作者自己的思維（消化咀嚼之後的表述），以致讀者閱讀之後仍是一頭霧水，這類書籍充其量只能作為授課大綱，而無助於問題之解決。本書分為10章，第1章說明R語言的用法，第2～8章為關聯分析、叢集分析、分類分析、資料包絡分析、決策樹、隨機森林等各種演算方法的深入剖析，第9章引領讀者進入「類神經網路及人工智慧」的殿堂，最後一章則為R語言之大數據處理。本書不但說明如何使用R語言的套件來進行資料採礦，更從不同角度闡述這些採礦模型（演算法）的原理，並以淺顯易懂的範例讓讀者了解其成因及產出，例如關聯分析之強度指標、貝氏分類的機率計算、階層分群之演算步驟、剪影係數的計算解析、決策樹之建構程序、隨機森林之節點路徑、類神經網路的權值修正等，只要讀者願意投入些許時間，必能豁然開朗、明其堂奧。
                    
"
R語言：量表編製、統計分析與試題反應理論,https://www.kingstone.com.tw//basic/2013120469600?zone=book&lid=search&actid=WISE&kw=R%E8%AA%9E%E8%A8%80&pi=0,陳新豐,五南      ,9789571196138.0,https://cdn.kingstone.com.tw/book/images/product/20131/2013120469600/2013120469600b.jpg,"


本書特色

	◎詳細說明量化研究中資料處理。
	◎扎實的統計方法說明，提供不同情境的分析範例。
	◎以圖片詳實說明操作流程，同時輔助學習R語言。
	◎書中範例資料檔案請至五南網站www.wunan.com.tw，輸入書號1H0T，即可找到下載處。

	本書介紹免費軟體R語言在量化資料分析上的應用，並從量化資料的各種分析方法中，以理論配合實例分析加以說明。內容共分為11章，分別是R語言簡介、量表題目分析、量表信度與效度分析、平均數差異檢定、共變數分析、相關與迴歸、卡方考驗、時間序列分析，以及試題反應理論分析等。

	本書以實務及理論兼容方式介紹量化資料的分析方法，各章節均以淺顯易懂文字與範例說明量化資料的統計分析策略，透過R程式設計與統計科學相關的學習，培養邏輯、系統化思考等運算思維。本書內容並包含運算實作，增進運算思維的應用能力，對於初次接觸量化資料的讀者，於研究論文的結果與分析上，一學就懂！而對於已有相當基礎的量化資料分析者，更是豁然開朗。

"
