書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
國小南一新超群自修國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216909557?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,南一書局  ,9789865301613.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909557/2015216909557b.jpg,0
國小（南老師）國語講義式評量二上（110學年）,https://www.kingstone.com.tw//basic/2015216907553?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,良品      ,9789860732092.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907553/2015216907553b.jpg,0
國小課堂評量｛南版｝國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216937154?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,明霖      ,4091111201901.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937154/2015216937154b.jpg,0
國小閱讀成語雙效養成二年級,https://www.kingstone.com.tw//basic/2015216970458?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,南一書局  ,4718373220586.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216970458/2015216970458b.jpg,0
國小南一新超群評量國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216911758?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,南一書局  ,9789865303013.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911758/2015216911758b.jpg,0
國小南一新超群百分百測驗卷國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216913912?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,南一書局  ,4718373220050.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216913912/2015216913912b.jpg,0
國小(南老師)國語二下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216791862?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,良品      ,220090101047.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216791862/2015216791862b.jpg,0
國小(南版)國語評量講義二下(109學年),https://www.kingstone.com.tw//basic/2015216801950?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,明霖      ,4092111201908.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216801950/2015216801950b.jpg,0
國小(南版)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216407848?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,明霖      ,4072111201900.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216407848/2015216407848b.jpg,0
國小(南老師)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216414099?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216414099/2015216414099b.jpg,0
國小(南版)國語評量講義二上(108學年),https://www.kingstone.com.tw//basic/2015216168909?zone=book&lid=book_class3_tbc&actid=book_class3_tbc,編輯,明霖      ,4081111201902.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015216168909/2015216168909b.jpg,0
