書名,書籍網站,作者,出版社,ISBN,圖片網址
國小康軒新挑戰測驗卷數學五上（110學年）,https://www.kingstone.com.tw//basic/2015216940147?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,204050900381,https://cdn.kingstone.com.tw/book/images/product/20152/2015216940147/2015216940147b.jpg
國小康軒新挑戰{麻辣}講義數學五上（110學年）,https://www.kingstone.com.tw//basic/2015216934818?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,9789865354787,https://cdn.kingstone.com.tw/book/images/product/20152/2015216934818/2015216934818b.jpg
國小課堂評量｛康版｝數學五上（110學年）,https://www.kingstone.com.tw//basic/2015216928039?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,明霖      ,4081133501905,https://cdn.kingstone.com.tw/book/images/product/20152/2015216928039/2015216928039b.jpg
國小康軒新挑戰學習講義數學五上（110學年）,https://www.kingstone.com.tw//basic/2015216935440?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,9789865354749,https://cdn.kingstone.com.tw/book/images/product/20152/2015216935440/2015216935440b.jpg
國小（康老師）數學講義式評量五上（110學年）,https://www.kingstone.com.tw//basic/2015216904477?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,良品      ,9789860638844,https://cdn.kingstone.com.tw/book/images/product/20152/2015216904477/2015216904477b.jpg
國小康軒新挑戰學習評量數學五上（110學年）,https://www.kingstone.com.tw//basic/2015216933446?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,9789865354701,https://cdn.kingstone.com.tw/book/images/product/20152/2015216933446/2015216933446b.jpg
國小康軒新挑戰數學自修五上（110學年）,https://www.kingstone.com.tw//basic/2015216931442?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,9789865354640,https://cdn.kingstone.com.tw/book/images/product/20152/2015216931442/2015216931442b.jpg
國小(康版)數學評量講義五下(109學年),https://www.kingstone.com.tw//basic/2015216794528?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,明霖      ,4072133501903,https://cdn.kingstone.com.tw/book/images/product/20152/2015216794528/2015216794528b.jpg
國小數學過招100回{各版本適用} 5年級,https://www.kingstone.com.tw//basic/2015216605336?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,202050904841,https://cdn.kingstone.com.tw/book/images/product/20152/2015216605336/2015216605336b.jpg
國小圖解數學 5年級{各版本適用},https://www.kingstone.com.tw//basic/2015216606388?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,康軒      ,202050905261,https://cdn.kingstone.com.tw/book/images/product/20152/2015216606388/2015216606388b.jpg
國小(康版)數學評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216405134?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216405134/2015216405134b.jpg
國小(康老師)數學評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216411173?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216411173/2015216411173b.jpg
國小(康版)數學評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216170230?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216170230/2015216170230b.jpg
國小(康老師)數學評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216181519?zone=book&lid=book_class3_tem&actid=book_class3_tem,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216181519/2015216181519b.jpg
108國小數學{暑期營}4升5. 各版本適用,https://www.kingstone.com.tw//basic/2015216075849?zone=book&lid=book_class3_tem&actid=book_class3_tem,康軒編輯,康軒      ,202050903951,https://cdn.kingstone.com.tw/book/images/product/20152/2015216075849/2015216075849b.jpg
108國小圖解數學5年級.各版本適用,https://www.kingstone.com.tw//basic/2015216079137?zone=book&lid=book_class3_tem&actid=book_class3_tem,康軒編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216079137/2015216079137b.jpg
108國小數學計算高手5年級. 各版本適用,https://www.kingstone.com.tw//basic/2015216080096?zone=book&lid=book_class3_tem&actid=book_class3_tem,康軒編輯,康軒      ,202050904941,https://cdn.kingstone.com.tw/book/images/product/20152/2015216080096/2015216080096b.jpg
108國小數學應用高手5年級. 各版本適用,https://www.kingstone.com.tw//basic/2015216080386?zone=book&lid=book_class3_tem&actid=book_class3_tem,康軒編輯,康軒      ,202050904741,https://cdn.kingstone.com.tw/book/images/product/20152/2015216080386/2015216080386b.jpg
